Job Family Group,Job Families,Job Profile Long,Career Track,Track Level,Career Track Sort,Pay Grade,Min,Mid,Max,Grade Key
Accounting,Accounts Payable,Accounts Payable Administrator I,Business Support,BS1,4,5,35300,44100,53000,U5-1
Accounting,Accounts Payable,Accounts Payable Administrator II,Business Support,BS2,5,6,39400,49300,59100,U6-1
Accounting,Accounts Payable,Sr Accounts Payable Administrator I,Business Support,BS3,6,6,44200,55300,66300,U7-1
Accounting,Accounts Payable,Sr Accounts Payable Administrator II,Business Support,BS4,7,8,49500,61900,74300,U8-1
Accounting,Accounts Payable,"Manager, Accounts Payable",Management,MG3,49,13,83400,104200,125100,U13-1
Accounting,Accounts Payable,"Sr Manager, Accounts Payable",Management,MG4,50,16,109900,137400,164900,U16-1
Accounting,Accounts Payable,"Director, Accounts Payable",Management,MG5,51,17,119800,149800,179700,U17-1
Accounting,Accounts Payable,"Sr Director, Accounts Payable",Management,MG6,52,19,138400,176400,214500,U19-1
Accounting,Accounts Receivable,Accounts Receivable Administrator I,Business Support,BS1,4,5,31400,39300,47100,U4-1
Accounting,Accounts Receivable,Accounts Receivable Administrator II,Business Support,BS2,5,5,35300,44100,53000,U5-1
Accounting,Accounts Receivable,Sr Accounts Receivable Administrator I,Business Support,BS3,6,6,39400,49300,59100,U6-1
Accounting,Accounts Receivable,Sr Accounts Receivable Administrator II,Business Support,BS4,7,6,44200,55300,66300,U7-1
Accounting,Accounts Receivable,Accounts Receivable Analyst I,Business Professional,BP1,31,7,44200,55300,66300,U7-1
Accounting,Accounts Receivable,Accounts Receivable Analyst II,Business Professional,BP2,32,8,49500,61900,74300,U8-1
Accounting,Accounts Receivable,Sr Accounts Receivable Analyst I,Business Professional,BP3,33,11,68900,86100,103400,U11-1
Accounting,Accounts Receivable,Sr Accounts Receivable Analyst II,Business Professional,BP4,34,13,83400,104200,125100,U13-1
Accounting,Accounts Receivable,Principal Accounts Receivable Analyst,Business Professional,BP5,35,15,100900,126100,151400,U15-1
Accounting,Accounts Receivable,Sr Principal Accounts Receivable Analyst,Business Professional,BP6,36,,109900,137400,164900,U16-1
Accounting,Accounts Receivable,"Supervisor, Accounts Receivable",Management,MG1,47,9,55400,69300,83100,U9-1
Accounting,Accounts Receivable,"Sr Supervisor, Accounts Receivable",Management,MG2,48,11,68900,86100,103400,U11-1
Accounting,Accounts Receivable,"Manager, Accounts Receivable",Management,MG3,49,13,83400,104200,125100,U13-1
Accounting,Accounts Receivable,"Sr Manager, Accounts Receivable",Management,MG4,50,15,100900,126100,151400,U15-1
Accounting,Accounts Receivable,"Director, Accounts Receivable",Management,MG5,51,17,119800,149800,179700,U17-1
Accounting,Accounts Receivable,"Sr Director, Accounts Receivable",Management,MG6,52,19,138400,176400,214500,U19-1
